production,,"gg->H->Bgaga,0-jet,pTH<10GeV","gg->H->Bgaga,0-jet,10<=pTH<200GeV","gg->H->Bgaga,1-jet,pTH<60GeV","gg->H->Bgaga,1-jet,60<=pTH<120GeV","gg->H->Bgaga,1-jet,120<=pTH<200GeV","gg->H->Bgaga,>=y2-jet,mjj<350GeV,pTH<120GeV","gg->H->Bgaga,>=y2-jet,mjj<350GeV,120<=pTH<200GeV","gg->H->Bgaga,>=y2-jet,mjj>=y350GeV,pTH<200GeV","gg->H->Bgaga,200<=pTH<300GeV","gg->H->Bgaga,300<=pTH<450GeV","gg->H->Bgaga,pTH>=y450GeV","qq->Hqq->Bgaga,<=1-jet","qq->Hqq->Bgaga,>=y2-jet,mjj<350GeV,VHveto","qq->Hqq->Bgaga,>=y2-jet,mjj<350GeV,VHtopo","qq->Hqq->Bgaga,>=y2-jet,350<=mjj<700GeV,pTH<200GeV","qq->Hqq->Bgaga,>=y2-jet,mjj>=y700GeV,pTH<200GeV","qq->Hqq->Bgaga,>=y2-jet,mjj>=y350GeV,pTH>=y200GeV","qq->Hlv->Bgaga,pTV<150GeV","qq->Hlv->Bgaga,pTV>=y150GeV","gg/qq->Hll->Bgaga,pTV<150GeV","gg/qq->Hll->Bgaga,pTV>=y150GeV","ttH->Bgaga,pTH<60GeV","ttH->Bgaga,60<=pTH<120GeV","ttH->Bgaga,120<=pTH<200GeV","ttH->Bgaga,pTH>=y200GeV","tH->Bgaga,","gg->H->BZZ,0-jet,pTH<10GeV","gg->H->BZZ,0-jet,10<=pTH<200GeV","gg->H->BZZ,1-jet,pTH<60GeV","gg->H->BZZ,1-jet,60<=pTH<120GeV","gg->H->BZZ,1-jet,120<=pTH<200GeV","gg->H->BZZ,>=y2-jet,pTH<200GeV","gg->H->BZZ,pTH>=y200GeV","qq->Hqq->BZZ,VBFtopo","qq->Hqq->BZZ,>=y2-jet,mjj<350GeV,VHtopo","qq->Hqq->BZZ,>=y2-jet,mjj>=y350GeV,pTH>=y200GeV","VHlep->BZZ,","top->BZZ,","qq->Hlv->Bbb,pTV<250GeV","qq->Hlv->Bbb,pTV>=y250GeV","gg/qq->Hll->Bbb,pTV<150GeV","gg/qq->Hll->Bbb,150<=pTV<250GeV","gg/qq->Hll->Bbb,pTV>=y250GeV"
decay,,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->gaga,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->bb(VH),H->bb(VH),H->bb(VH),H->bb(VH),H->bb(VH)
production,decay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gg->H->Bgaga,0-jet,pTH<10GeV",H->gaga,"1.0","0.0","-0.02","-0.06","-0.02","0.03","-0.02","0.05","-0.02","0.0","0.0","-0.02","0.01","0.01","-0.04","-0.02","0.0","0.01","0.01","-0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.1","-0.03","0.03","-0.06","-0.02","0.04","-0.02","-0.01","0.01","0.0","0.0","-0.01","0.0","0.0","0.0","0.0","0.0"
"gg->H->Bgaga,0-jet,10<=pTH<200GeV",H->gaga,"0.0","1.0","-0.23","0.11","0.08","-0.04","0.08","-0.02","0.11","0.05","0.04","-0.04","0.02","-0.01","0.05","0.04","0.02","0.04","0.02","-0.01","0.01","0.01","0.01","0.03","0.01","0.0","0.1","0.19","-0.08","0.08","0.03","-0.05","0.04","0.01","0.01","0.01","0.0","0.01","0.01","0.01","-0.01","0.0","0.0"
"gg->H->Bgaga,1-jet,pTH<60GeV",H->gaga,"-0.02","-0.23","1.0","0.24","0.14","-0.05","-0.01","0.0","0.05","0.03","0.01","-0.25","0.03","0.0","0.03","0.07","0.03","0.01","0.01","-0.01","0.0","0.0","0.02","0.02","0.01","0.0","0.03","-0.02","0.04","0.09","0.01","0.01","0.01","0.01","-0.01","0.0","0.0","0.0","0.0","-0.01","0.01","0.0","0.0"
"gg->H->Bgaga,1-jet,60<=pTH<120GeV",H->gaga,"-0.06","0.11","0.24","1.0","0.36","-0.19","0.08","-0.02","0.22","0.08","0.09","-0.39","-0.01","-0.02","0.05","0.06","0.02","0.01","0.01","-0.01","0.0","0.0","0.01","0.01","0.0","-0.01","0.0","0.09","-0.05","0.24","0.07","-0.05","0.09","0.0","-0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"gg->H->Bgaga,1-jet,120<=pTH<200GeV",H->gaga,"-0.02","0.08","0.14","0.36","1.0","-0.04","-0.02","0.02","0.2","0.08","0.11","-0.4","-0.02","0.0","0.02","0.04","0.01","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","-0.03","0.13","0.05","-0.02","0.1","-0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"gg->H->Bgaga,>=y2-jet,mjj<350GeV,pTH<120GeV",H->gaga,"0.03","-0.04","-0.05","-0.19","-0.04","1.0","0.25","0.05","0.15","0.13","0.08","0.01","-0.44","-0.17","-0.04","-0.06","-0.04","0.0","0.0","-0.01","0.0","0.0","0.0","0.02","0.02","-0.01","0.04","-0.07","0.05","-0.04","-0.01","0.05","0.0","-0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0"
"gg->H->Bgaga,>=y2-jet,mjj<350GeV,120<=pTH<200GeV",H->gaga,"-0.02","0.08","-0.01","0.08","-0.02","0.25","1.0","0.04","0.36","0.19","0.2","0.0","-0.45","-0.27","-0.01","-0.08","-0.04","0.0","0.0","-0.01","0.0","0.01","0.0","0.01","0.01","-0.01","0.02","0.05","-0.04","0.07","0.04","0.0","0.13","-0.03","0.01","0.01","0.0","0.0","0.01","0.01","0.0","0.0","0.0"
"gg->H->Bgaga,>=y2-jet,mjj>=y350GeV,pTH<200GeV",H->gaga,"0.05","-0.02","0.0","-0.02","0.02","0.05","0.04","1.0","0.07","0.05","0.08","-0.04","-0.06","0.04","-0.48","-0.3","-0.03","0.02","0.01","-0.02","0.0","0.02","0.02","0.03","0.04","-0.04","0.03","-0.03","0.03","-0.02","0.0","0.06","0.02","-0.05","0.0","0.0","0.0","0.0","-0.01","-0.01","0.02","0.0","-0.01"
"gg->H->Bgaga,200<=pTH<300GeV",H->gaga,"-0.02","0.11","0.05","0.22","0.2","0.15","0.36","0.07","1.0","0.19","0.32","-0.14","-0.2","-0.19","0.02","-0.01","-0.13","0.02","0.0","0.0","0.0","0.01","0.02","0.02","0.0","-0.03","0.03","0.05","-0.04","0.12","0.06","0.0","0.25","-0.01","0.01","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"gg->H->Bgaga,300<=pTH<450GeV",H->gaga,"0.0","0.05","0.03","0.08","0.08","0.13","0.19","0.05","0.19","1.0","0.11","-0.08","-0.21","-0.12","-0.01","-0.02","-0.11","0.01","0.0","0.0","0.01","0.01","0.01","0.05","0.0","-0.02","0.01","0.01","-0.01","0.03","0.02","0.0","0.06","-0.02","0.0","0.0","0.0","0.0","0.0","0.0","-0.01","0.0","0.0"
"gg->H->Bgaga,pTH>=y450GeV",H->gaga,"0.0","0.04","0.01","0.09","0.11","0.08","0.2","0.08","0.32","0.11","1.0","-0.05","-0.1","-0.03","0.0","-0.01","-0.05","0.01","0.0","0.0","0.0","0.01","0.01","0.03","0.0","-0.01","0.02","0.0","-0.01","0.04","0.03","0.01","0.19","-0.01","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"qq->Hqq->Bgaga,<=1-jet",H->gaga,"-0.02","-0.04","-0.25","-0.39","-0.4","0.01","0.0","-0.04","-0.14","-0.08","-0.05","1.0","-0.01","0.0","-0.03","-0.11","-0.03","0.0","0.0","-0.01","0.0","0.01","0.0","0.02","0.01","0.01","0.0","0.0","0.01","0.0","-0.01","0.0","0.0","0.02","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0"
"qq->Hqq->Bgaga,>=y2-jet,mjj<350GeV,VHveto",H->gaga,"0.01","0.02","0.03","-0.01","-0.02","-0.44","-0.45","-0.06","-0.2","-0.21","-0.1","-0.01","1.0","0.12","0.06","0.16","0.11","0.02","0.01","-0.01","0.01","0.01","0.0","0.02","0.0","0.0","0.01","-0.01","0.01","-0.02","-0.02","0.0","0.01","0.05","0.0","0.0","0.0","0.0","0.0","-0.01","0.01","0.01","0.0"
"qq->Hqq->Bgaga,>=y2-jet,mjj<350GeV,VHtopo",H->gaga,"0.01","-0.01","0.0","-0.02","0.0","-0.17","-0.27","0.04","-0.19","-0.12","-0.03","0.0","0.12","1.0","0.0","0.02","0.03","0.0","0.0","0.0","-0.01","0.0","0.01","0.0","0.0","-0.01","0.0","-0.01","0.02","-0.02","-0.01","0.02","0.0","0.0","0.0","0.0","0.0","0.0","-0.01","0.0","0.01","0.01","0.0"
"qq->Hqq->Bgaga,>=y2-jet,350<=mjj<700GeV,pTH<200GeV",H->gaga,"-0.04","0.05","0.03","0.05","0.02","-0.04","-0.01","-0.48","0.02","-0.01","0.0","-0.03","0.06","0.0","1.0","0.32","0.11","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","-0.02","0.04","-0.01","0.02","-0.01","-0.03","0.03","0.09","-0.01","0.01","0.0","0.01","0.0","0.0","0.01","0.0","0.01"
"qq->Hqq->Bgaga,>=y2-jet,mjj>=y700GeV,pTH<200GeV",H->gaga,"-0.02","0.04","0.07","0.06","0.04","-0.06","-0.08","-0.3","-0.01","-0.02","-0.01","-0.11","0.16","0.02","0.32","1.0","0.17","0.02","0.01","-0.01","0.0","0.01","0.01","0.02","0.01","0.0","-0.02","0.02","0.0","0.0","-0.02","-0.03","0.01","0.12","-0.02","0.01","0.0","0.01","0.0","0.0","0.02","0.01","0.0"
