production,decay,acceptance,signature,central,-total,+total,-stat,+stat,-syst,+syst,central_SM
"gg->H->Bgaga,0-jet,pTH<10GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),0.75,-0.3,0.32,-0.25,0.25,-0.17,0.21,1
"gg->H->Bgaga,0-jet,10<=pTH<200GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),1.22,-0.22,0.24,-0.15,0.15,-0.15,0.19,1
"gg->H->Bgaga,1-jet,pTH<60GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),0.92,-0.44,0.51,-0.39,0.39,-0.21,0.33,1
"gg->H->Bgaga,1-jet,60<=pTH<120GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),1.25,-0.42,0.53,-0.36,0.35,-0.23,0.39,1
"gg->H->Bgaga,1-jet,120<=pTH<200GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),0.72,-0.48,0.61,-0.46,0.47,-0.13,0.39,1
"gg->H->Bgaga,>=y2-jet,mjj<350GeV,pTH<120GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),0.24,-0.5,0.54,-0.46,0.47,-0.2,0.28,1
"gg->H->Bgaga,>=y2-jet,mjj<350GeV,120<=pTH<200GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),0.6,-0.45,0.56,-0.4,0.41,-0.2,0.39,1
"gg->H->Bgaga,>=y2-jet,mjj>=y350GeV,pTH<200GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),2.02,-0.93,1.18,-0.77,0.78,-0.52,0.88,1
"gg->H->Bgaga,200<=pTH<300GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),0.97,-0.39,0.53,-0.33,0.34,-0.21,0.41,1
"gg->H->Bgaga,300<=pTH<450GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),0.21,-0.47,0.58,-0.43,0.49,-0.19,0.32,1
"gg->H->Bgaga,pTH>=y450GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),1.51,-1.06,1.76,-0.97,1.21,-0.44,1.29,1
"qq->Hqq->Bgaga,<=1-jet",H->gaga,none,CS*BR/(CS_SM*BR_SM),1.48,-1.07,1.2,-1.01,1.14,-0.33,0.36,1
"qq->Hqq->Bgaga,>=y2-jet,mjj<350GeV,VHveto",H->gaga,none,CS*BR/(CS_SM*BR_SM),3.03,-1.73,1.87,-1.63,1.71,-0.58,0.77,1
"qq->Hqq->Bgaga,>=y2-jet,mjj<350GeV,VHtopo",H->gaga,none,CS*BR/(CS_SM*BR_SM),0.67,-0.81,0.93,-0.77,0.88,-0.25,0.28,1
"qq->Hqq->Bgaga,>=y2-jet,350<=mjj<700GeV,pTH<200GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),0.88,-0.67,0.81,-0.6,0.66,-0.29,0.46,1
"qq->Hqq->Bgaga,>=y2-jet,mjj>=y700GeV,pTH<200GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),1.11,-0.33,0.39,-0.27,0.28,-0.2,0.27,1
"qq->Hqq->Bgaga,>=y2-jet,mjj>=y350GeV,pTH>=y200GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),1.34,-0.41,0.47,-0.37,0.42,-0.17,0.21,1
"qq->Hlv->Bgaga,pTV<150GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),2.41,-0.67,0.74,-0.66,0.72,-0.12,0.18,1
"qq->Hlv->Bgaga,pTV>=y150GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),2.65,-1.0,1.18,-0.98,1.15,-0.19,0.27,1
"gg/qq->Hll->Bgaga,pTV<150GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),-1.09,-0.02,0.97,-0.02,0.96,-0.0,0.15,1
"gg/qq->Hll->Bgaga,pTV>=y150GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),-0.1,-0.95,1.14,-0.91,1.11,-0.25,0.26,1
"ttH->Bgaga,pTH<60GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),0.74,-0.68,0.83,-0.68,0.79,-0.09,0.24,1
"ttH->Bgaga,60<=pTH<120GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),0.71,-0.45,0.55,-0.45,0.53,-0.06,0.15,1
"ttH->Bgaga,120<=pTH<200GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),1.05,-0.54,0.65,-0.52,0.6,-0.13,0.25,1
"ttH->Bgaga,pTH>=y200GeV",H->gaga,none,CS*BR/(CS_SM*BR_SM),0.95,-0.47,0.57,-0.46,0.52,-0.1,0.23,1
"tH->Bgaga,",H->gaga,none,CS*BR/(CS_SM*BR_SM),0.77,-2.4,3.25,-2.3,3.15,-0.68,0.79,1
"gg->H->BZZ,0-jet,pTH<10GeV",H->ZZ->4l,none,CS*BR/(CS_SM*BR_SM),0.95,-0.31,0.38,-0.28,0.31,-0.14,0.21,1
"gg->H->BZZ,0-jet,10<=pTH<200GeV",H->ZZ->4l,none,CS*BR/(CS_SM*BR_SM),1.14,-0.2,0.23,-0.16,0.17,-0.12,0.15,1
"gg->H->BZZ,1-jet,pTH<60GeV",H->ZZ->4l,none,CS*BR/(CS_SM*BR_SM),0.23,-0.42,0.44,-0.35,0.39,-0.22,0.2,1
"gg->H->BZZ,1-jet,60<=pTH<120GeV",H->ZZ->4l,none,CS*BR/(CS_SM*BR_SM),1.43,-0.42,0.52,-0.37,0.41,-0.19,0.31,1
"gg->H->BZZ,1-jet,120<=pTH<200GeV",H->ZZ->4l,none,CS*BR/(CS_SM*BR_SM),0.45,-0.57,0.83,-0.57,0.78,-0.08,0.27,1
"gg->H->BZZ,>=y2-jet,pTH<200GeV",H->ZZ->4l,none,CS*BR/(CS_SM*BR_SM),0.27,-0.51,0.56,-0.47,0.5,-0.19,0.23,1
"gg->H->BZZ,pTH>=y200GeV",H->ZZ->4l,none,CS*BR/(CS_SM*BR_SM),2.27,-1.04,1.55,-0.97,1.23,-0.38,0.95,1
"qq->Hqq->BZZ,VBFtopo",H->ZZ->4l,none,CS*BR/(CS_SM*BR_SM),1.43,-0.49,0.61,-0.48,0.58,-0.09,0.17,1
"qq->Hqq->BZZ,>=y2-jet,mjj<350GeV,VHtopo",H->ZZ->4l,none,CS*BR/(CS_SM*BR_SM),1.59,-2.14,2.7,-2.1,2.64,-0.41,0.59,1
