bin,cHbox,cHDD,cHG,cuH,cuG,c(3)Hl,c0ll,cHWB,c(1)Hl,cHe,c(1)Hq,c(3)Hq,cHu,cHd,cHW,cHB,cG,cuW,cuB,cqq,c(1)qq,c(3)qq,c(31)qq,cuu,c(1)uu,c(1)ud,c(8)ud,c(1)qu,c(8)qu,c(1)qd,c(8)qd,cW,cdH,ceH
"gg->H->Bgaga,0-jet,pTH<10GeV",0.12,-0.0294,42.0,-0.117,1.59,-0.117,0.0587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg->H->Bgaga,0-jet,10<=pTH<200GeV",0.12,-0.0295,42.2,-0.1186,1.62,-0.1182,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg->H->Bgaga,1-jet,pTH<60GeV",0.12,-0.033,44.0,-0.132,1.6,-0.132,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg->H->Bgaga,1-jet,60<=pTH<120GeV",0.12,-0.0314,43.5,-0.125,1.58,-0.125,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg->H->Bgaga,1-jet,120<=pTH<200GeV",0.12,-0.028,44.0,-0.118,1.6,-0.112,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg->H->Bgaga,>=y2-jet,mjj<350GeV,pTH<120GeV",0.12,-0.033,46.5,-0.1305,1.6099999999999999,-0.131,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg->H->Bgaga,>=y2-jet,mjj<350GeV,120<=pTH<200GeV",0.12,-0.032,46.0,-0.132,1.48,-0.13,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg->H->Bgaga,>=y2-jet,mjj>=y350GeV,pTH<200GeV",0.12,-0.0335,46.0,-0.14025,1.5075000000000003,-0.13275,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg->H->Bgaga,200<=pTH<300GeV",0.12,-0.03,47.0,-0.12199999999999998,1.69,-0.12,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg->H->Bgaga,300<=pTH<450GeV",0.12,-0.029,60.0,-0.12,2.1,-0.11,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
