,c(3)Hq,cHB,cHW,cHWB,cuB,cuW,cHDD,cHd,cHu,c(1)Hq,cHe,c(1)Hl,c(3)Hl,c0ll,cHG,cuG,cG,c(8)qd,c(1)qq,cqq,c(3)qq,c(31)qq,c(1)qu,c(8)qu,cuH,c(8)ud,cuu,c(1)uu
c(3)Hq,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c[1]HW-HB-HWB-HDD-uW-uB,0.0,-0.84,-0.27,0.47,-0.05,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c[2]HW-HB-HWB-HDD-uW-uB,0.0,0.19,-0.96,-0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c[3]HW-HB-HWB-HDD-uW-uB,0.0,0.5,-0.08,0.86,0.06,0.03,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c[1]Hu-Hd-Hq(1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,-0.87,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c[1]Hl(1)-He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.62,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c[1]Hl(3)-ll0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c[1]HG-uG-uH-top,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c[2]HG-uG-uH-top,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.73,-0.18,-0.04,-0.03,-0.23,-0.05,-0.54,-0.01,-0.15,0.06,-0.04,-0.02,-0.24
c[3]HG-uG-uH-top,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.67,0.29,0.03,0.04,0.25,0.05,0.55,0.01,0.16,0.1,0.03,0.02,0.26
