production,decay,acceptance,signature,central,+total,-total,+stat,-stat,+syst,-syst,central_SM,+total_SM,-total_SM
"gg->H,0jet,pTH<10GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,5.9,1.5,-1.3,1.3,-1.2,0.7,-0.6,6.6,0.9,-0.9
"gg->H,0jet,10<=pTH<200GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,23.6,3.1,-2.8,2.5,-2.4,1.8,-1.5,20.6,1.6,-1.6
"gg->H,1jet,pTH<60GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,3.7,1.8,-1.8,1.4,-1.4,1.2,-1.2,6.5,0.9,-0.9
"gg->H,1jet,60<=pTH<120GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,4.8,1.3,-1.2,1.1,-1.1,0.6,-0.5,4.5,0.6,-0.6
"gg->H,1jet,120<=pTH<200GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.5,0.3,-0.29,0.27,-0.26,0.15,-0.13,0.75,0.13,-0.13
"gg->H,>=2jet,mjj<350GeV,pTH<60GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.6,1.3,-1.2,1.2,-1.1,0.5,-0.5,1.17,0.27,-0.27
"gg->H,>=2jet,mjj<350GeV,60<=pTH<120GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.4,1.0,-1.0,0.8,-0.8,0.5,-0.5,1.8,0.4,-0.4
"gg->H,>=2jet,mjj<350GeV,120<=pTH<200GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.5,0.4,-0.4,0.4,-0.3,0.2,-0.2,0.94,0.21,-0.21
"gg->H,>=2jet,350<=mjj<700GeV,pTH<200GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,1.7,0.7,-0.6,0.6,-0.6,0.3,-0.3,0.61,0.13,-0.13
"gg->H,>=2jet,mjj>=700GeV,pTH<200GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.2,0.4,-0.4,0.4,-0.3,0.2,-0.2,0.27,0.06,-0.06
"gg->H,200<=pTH<300GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.49,0.16,-0.14,0.13,-0.12,0.09,-0.07,0.46,0.11,-0.11
"gg->H,300<=pTH<450GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.07,0.05,-0.05,0.05,-0.04,0.02,-0.02,0.106,0.03,-0.03
"gg->H,pTH>=450GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.033,0.026,-0.021,0.025,-0.02,0.009,-0.008,0.018,0.006,-0.006
"qq->Hqq,<=1jet",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,2.9,2.3,-2.1,2.1,-1.9,0.8,-0.7,2.1,0.07,-0.07
"qq->Hqq,>=2jet,mjj<350GeV,VHveto",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,2.2,1.2,-1.1,1.1,-1.0,0.5,-0.5,0.728,0.022,-0.022
"qq->Hqq,>=2jet,mjj<350GeV,VHtopo",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.53,0.31,-0.28,0.27,-0.25,0.15,-0.12,0.528,0.019,-0.019
"qq->Hqq,>=2jet,350<=mjj<700GeV,pTH<200GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.18,0.27,-0.26,0.24,-0.22,0.12,-0.13,0.545,0.016,-0.016
"qq->Hqq,>=2jet,700<=mjj<1000GeV,pTH<200GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.25,0.19,-0.17,0.16,-0.15,0.09,-0.08,0.266,0.008,-0.008
"qq->Hqq,>=2jet,1000<=mjj<1500GeV,pTH<200GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.33,0.14,-0.12,0.12,-0.11,0.07,-0.05,0.236,0.007,-0.007
"qq->Hqq,>=2jet,mjj>=1500GeV,pTH<200GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.27,0.09,-0.08,0.08,-0.07,0.04,-0.03,0.233,0.008,-0.008
"qq->Hqq,>=2jet,mjj>=350GeV,pTH>=200GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.19,0.05,-0.04,0.04,-0.04,0.02,-0.02,0.16,0.004,-0.004
"qq->Hlv,pTV<75GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.51,0.24,-0.21,0.24,-0.21,0.05,-0.02,0.206,0.008,-0.008
"qq->Hlv,75<=pTV<150GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.21,0.13,-0.11,0.13,-0.1,0.03,-0.02,0.131,0.006,-0.006
"qq->Hlv,150<=pTV<250GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.059,0.031,-0.024,0.025,-0.02,0.017,-0.014,0.0416,0.0018,-0.0019
"qq->Hlv,250<=pTV<400GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.015,0.008,-0.006,0.007,-0.005,0.004,-0.002,0.0108,0.0005,-0.0005
"qq->Hlv,pTV>=400GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.005,0.004,-0.003,0.003,-0.002,0.002,-0.001,0.00245,0.00013,-0.00013
"gg/qq->Hll,pTV<150GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.04,0.14,-0.15,0.11,-0.11,0.09,-0.11,0.197,0.008,-0.008
"gg/qq->Hll,150<=pTV<250GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.042,0.02,-0.015,0.017,-0.013,0.011,-0.007,0.032,0.004,-0.004
"gg/qq->Hll,250<=pTV<400GeV",H->ZZ->4l,delta H->ZZ->4l,CS*BR_ZZ/BR_ZZSM,0.009,0.005,-0.004,0.005,-0.004,0.003,-0.002,0.0073,0.0008,-0.0008
