bin,cHbox,cHDD,cHG,cuH,cuG,c(3)Hl,c0ll,cHW,cHB,cHWB,c(3)Hq,cHu,cHd,c(1)Hq,c(1)Hl,cHe,cG,cuW,cuB,c(1)qq,cqq,c(3)qq,c(31)qq,cuu,c(1)uu,c(1)ud,c(8)ud,c(1)qu,c(8)qu,c(1)qd,c(8)qd,cW,cdH,ceH
"gg->H,0jet,pTH<10GeV",0.118,-0.0294,42.0,-0.117,1.59,-0.117,0.0587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg->H,0jet,10<=pTH<200GeV",0.1176,-0.0295,42.2,-0.1186,1.62,-0.1182,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg->H,1jet,pTH<60GeV",0.132,-0.033,44.0,-0.132,1.6,-0.132,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg->H,1jet,60<=pTH<120GeV",0.125,-0.0314,43.5,-0.125,1.58,-0.125,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg->H,1jet,120<=pTH<200GeV",0.115,-0.028,44.0,-0.118,1.6,-0.112,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg->H,>=2jet,mjj<350GeV,pTH<60GeV",0.128,-0.033,46.0,-0.128,1.63,-0.132,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg->H,>=2jet,mjj<350GeV,60<=pTH<120GeV",0.13,-0.033,47.0,-0.133,1.59,-0.13,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg->H,>=2jet,mjj<350GeV,120<=pTH<200GeV",0.133,-0.032,46.0,-0.132,1.48,-0.13,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg->H,>=2jet,350<=mjj<700GeV,pTH<200GeV",0.137,-0.035,44.0,-0.144,1.48,-0.135,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg->H,>=2jet,mjj>=700GeV,pTH<200GeV",0.13,-0.032,45.0,-0.13,1.5,-0.131,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
