bin,"ceH,22","ceH,33","c(3)Hq","cbH","cHG","ctG","ctH","cHB","cHW","cHWB","ctB","ctW","cW","cHu","c(1)Hq","cHd","c(3)Hl,33","cHt","cHe,33","c(1)Hl,33","cHb","cG","c(1,8)Qq","c(3,1)Qq","c(8)tq","c(8)Qu","c(8)tu","c(8)td","c(8)Qd","c(3,8)Qq","c(1,1)Qq","c(1)tu","c(1)tq","c(1)Qu","c(1)Qd","cHbox","c(3)Hl,11","c(3)Hl,22","cll,1221","c(1)Hl,11","c(1)Hl,22","cHe,11","cHe,22","cHDD","c(3)HQ","c(1)HQ","cH10"
"mu",,,0.07,,28.35,-1,-0.1,,0.04,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.12,-0.08,-0.08,0.04,,,,,-0.01,,,-0.02
"gg->H,0-jet,pTH<10GeV",,,,,35.41,-1.28,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.06,-0.06,0.03,,,,,-0.01,,,-0.01
"gg->H,0-jet,pTH<200GeV",,,,,35.85,-1.29,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.06,-0.06,0.03,,,,,-0.01,,,-0.01
"gg->H,0-jet,10<=pTH<200GeV",,,,,36,-1.29,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.06,-0.06,0.03,,,,,-0.01,,,-0.01
"gg->H,1-jet,pTH<60GeV",,,,,37.57,-1.29,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.06,-0.06,0.03,,,,,-0.01,,,-0.01
"gg->H,1-jet,60<=pTH<120GeV",,,,,39.04,-1.29,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.06,-0.06,0.03,,,,,-0.01,,,-0.01
"gg->H,1-jet,120<=pTH<200GeV",,,,,41.46,-1.31,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.06,-0.06,0.03,,,,,-0.01,,,-0.01
"gg->H,>=2-jet,mjj<350GeV,pTH<120GeV",,,,,39.45,-1.29,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.06,-0.06,0.03,,,,,-0.01,,,-0.01
"gg->H,>=2-jet,mjj<350GeV,120<=pTH<200GeV",,,,,41.57,-1.3,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.06,-0.06,0.03,,,,,-0.01,,,-0.01
"gg->H,>=2-jet,mjj>=350GeV,pTH<200GeV",,,,,40.72,-1.29,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.06,-0.06,0.03,,,,,-0.03,,,-0.01
"gg->H,>=2-jet,pTH<200GeV",,,,,40.11,-1.29,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.06,-0.06,0.03,,,,,-0.03,,,-0.01
"gg->H,200<=pTH<300GeV",,,,,46.22,-1.41,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.06,-0.06,0.03,,,,,-0.03,,,-0.01
"gg->H,300<=pTH<450GeV",,,,,55.83,-1.67,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.06,-0.06,0.03,,,,,-0.03,,,-0.01
"gg->H,>=2-jet,pTH>200GeV",,,,,49.32,-1.5,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.06,-0.06,0.03,,,,,-0.03,,,-0.01
