mu,mu
"gg->H,0-jet,pTH<10GeV","gg->H,0-jet,pTH<10GeV"
"gg->H,0-jet,pTH<200GeV","gg->H,0-jet,pTH<200GeV"
"gg->H,0-jet,10<=pTH<200GeV","gg->H,0-jet,10<=pTH<200GeV"
"gg->H,1-jet,pTH<60GeV","gg->H,1-jet,pTH<60GeV"
"gg->H,1-jet,60<=pTH<120GeV","gg->H,1-jet,60<=pTH<120GeV"
"gg->H,1-jet,120<=pTH<200GeV","gg->H,1-jet,120<=pTH<200GeV"
"gg->H,>=2-jet,mjj<350GeV,pTH<120GeV","gg->H,>=2-jet,mjj<350GeV,pTH<120GeV"
"gg->H,>=2-jet,mjj<350GeV,120<=pTH<200GeV","gg->H,>=2-jet,mjj<350GeV,120<=pTH<200GeV"
"gg->H,>=2-jet,mjj>=350GeV,pTH<200GeV","gg->H,>=2-jet,mjj>=350GeV,pTH<200GeV"
"gg->H,>=2-jet,pTH<200GeV","gg->H,>=2-jet,pTH<200GeV"
"gg->H,200<=pTH<300GeV","gg->H,200<=pTH<300GeV"
"gg->H,300<=pTH<450GeV","gg->H,300<=pTH<450GeV"
"gg->H,>=2-jet,pTH>200GeV","gg->H,>=2-jet,pTH>200GeV"
"gg->H,pTH>=300GeV","gg->H,pTH>=300GeV"
"gg->H,pTH>=450GeV","gg->H,pTH>=450GeV"
"gg->H,450<=pTH<650GeV","gg->H,450<=pTH<650GeV"
"gg->H,pTH>650GeV","gg->H,pTH>650GeV"
"gg->H,ttH,H->mumu","gg->H,ttH,H->mumu"
"gg->H,1-jetor>=2-jet,mjj<350GeV,60<=pTH<120GeV","gg->H,1-jetor>=2-jet,mjj<350GeV,60<=pTH<120GeV"
"qq->Hlv,pTV<150GeV","qq->Hlv,pTV<150GeV"
"qq->Hlv,pTV>150GeV","qq->Hlv,pTV>150GeV"
"qq->Hlv,150<=pTV<250GeV","qq->Hlv,150<=pTV<250GeV"
"qq->Hlv,250<=pTV<400GeV","qq->Hlv,250<=pTV<400GeV"
"qq->Hlv,pTV>=400GeV","qq->Hlv,pTV>=400GeV"
qq->Hqq,?
"qq->Hqq,<=1-jetandVH-veto(VBF)",?
"qq->Hqq,>=2-jet,60<mjj<120GeV","qq->Hqq,>=2-jet,60<mjj<120GeV"
"qq->Hqq,>=2-jet,350<=mjj<1000GeV,pTH>=200GeV","qq->Hqq,>=2-jet,350<=mjj<1000GeV,pTH>=200GeV"
"qq->Hqq,>=2-jet,350<=mjj<700GeV,pTH<200GeV","qq->Hqq,>=2-jet,350<=mjj<700GeV,pTH<200GeV"
"qq->Hqq,>=2-jet,700<=mjj<1000GeV,pTH<200GeV","qq->Hqq,>=2-jet,700<=mjj<1000GeV,pTH<200GeV"
"qq->Hqq,>=2-jet,mjj>=1000GeV,pTH<200GeV","qq->Hqq,>=2-jet,mjj>=1000GeV,pTH<200GeV"
"qq->Hqq,>=2-jet,1000<=mjj<1500GeV,pTH<200GeV","qq->Hqq,>=2-jet,1000<=mjj<1500GeV,pTH<200GeV"
"qq->Hqq,>=2-jet,mjj>=1500GeV,pTH<200GeV","qq->Hqq,>=2-jet,mjj>=1500GeV,pTH<200GeV"
"qq->Hqq,>=2-jet,mjj>=1000GeV,pTH>=200GeV","qq->Hqq,>=2-jet,mjj>=1000GeV,pTH>=200GeV"
"qq->Hqq,>=2-jet,mjj>=350GeV,pTH>=200GeV","qq->Hqq,>=2-jet,mjj>=350GeV,pTH>=200GeV"
"qq->Hqq,>=2-jet,mjj>=350GeV","qq->Hqq,>=2-jet,mjj>=350GeV"
VH-lep,?
"qq->Hqq,VH,H->mumu","qq->Hqq,VH,H->mumu"
"gg/qq->Hll,75<=pTV<150GeV","gg/qq->Hll,75<=pTV<150GeV"
"gg/qq->Hll,pTV<150GeV","gg/qq->Hll,pTV<150GeV"
"gg/qq->Hll,150<=pTV<250GeV","gg/qq->Hll,150<=pTV<250GeV"
"gg/qq->Hll,250<=pTV<400GeV","gg/qq->Hll,250<=pTV<400GeV"
"gg/qq->Hll,pTV>150GeV","gg/qq->Hll,pTV>150GeV"
"gg/qq->Hll,pTV>=400GeV","gg/qq->Hll,pTV>=400GeV"
ttH,ttH
"ttH,0<=pTH<120GeV",?
"ttH,pTH<60GeV",?
"ttH,60<=pTH<120GeV","ttH,60<=pTH<120GeV"
"ttH,120<=pTH<200GeV","ttH,120<=pTH<200GeV"
"ttH,200<=pTH<300GeV","ttH,200<=pTH<300GeV"
"ttH,pTH>300GeV","ttH,pTH>300GeV"
"ttH,300<=pTH<450GeV",?
"ttH,pTH>450GeV",?
tH,tH
H->ZZ->4l
H->gaga
H->bb
H->mumu
H->tautau
H->WW->lvlv
H->Zga
H->all
∆H->ZZ->4l
